"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1,B2,B3,B4","4","","","","","TPP223:Module_touch_sensor_TTP223",""
"C1","1","800uF 50V","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"C2","1","10uF","","","","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"C3","1","47uF","","","","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"C4","1","22uF","","","","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"C5,C6,C7,C8","4","100 nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","ABS10","","","","Diode_SMD:Diode_Bridge_Diotec_ABS","https://diotec.com/tl_files/diotec/files/pdf/datasheets/abs2.pdf"
"D2,D3","2","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"D4,D5,D6,D7,D8,D9,D10,D11,D12,D14","10","LED","","","","LED_THT:LED_Rectangular_W5.0mm_H2.0mm",""
"D13","1","LED niebieski","","","","LED_THT:LED_Rectangular_W5.0mm_H2.0mm",""
"DS1","1","AOM12864A0-1.3BW-ANO OLED","","","","AOM12864A0:LCD_AOM12864A0-1.3BW-ANO",""
"J1,J7","2","Conn_02x20_Top_Bottom","","","","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical",""
"J2","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J3,J4","2","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J5","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J6","1","Conn_01x10_Socket","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-10P_1x10_P5.00mm",""
"K1,K2,K3,K4,K5,K6,K7,K8,K9","9","G3MB-202P","","","","G3MB-202P:RELAY_G3MB-202P",""
"PS1","1","LCW78_05-1.0","","","","LCW78_05:CONV_LCW78_05-1.0",""
"R1","1","4K7R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2","1","6R2 1W","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3,R4","2","280R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R5,R6,R7,R9,R10,R11,R12,R13,R14","9","120R","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"R15,R16","2","100R","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","1","TC00500 RTC DS3231","","","","TC00500_DS3231:MODULE_TC00500",""
"U2","1","ESP32-S3-DEVKITC-1-N8R2","","","","/ESP32-S3-DEVKITC-1-N8R2:XCVR_ESP32-S3-DEVKITC-1-N8R2",""
"U3","1","LM1117RS-3.3","","","","Package_TO_SOT_SMD:TO-252-2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U4,U6","2","ULN2803A","","","","Package_SO:SOP-18_7.495x11.515mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2803a.pdf"
"U5,U7","2","74HC595D_118","","","","74HC595D:SOIC127P600X175-16N",""
